symbol,volume_24h
FDUSD,7445245752.256326
BNB,1914554798.3217072
MOC,951186724.445896
USD0,827371831.7671539
CBK,681159357.2036045
AHT,538699834.7643895
TOKAMAK,482016716.69994766
AI16Z,437954792.9294404
BIO,239591927.46194956
NEIRO,219941748.08407596
SWARMS,205956340.67965522
LLM,198468922.2536247
MNT,170799816.20336702
MLK,143911694.45770037
CHZ,138968709.39093044
USDe,129620460.24398156
X,125357180.23187697
FCT,115016646.90133671
ZRO,109852064.25546788
PIPPIN,106959170.03465493
BabyDoge,105273480.26252201
ALCH,90774435.5646721
D,84561708.83554967
SAFE,82537201.646222
GRIFFAIN,80117630.82773706
STRAX,79142127.6855472
AIXBT,75079160.8511048
BTT,64291897.9965834
GAME,63495537.76601643
TEMCO,61764448.96895991
FLOCK,56353411.88791735
BORA,52689332.22807141
BOUNTY,49613655.26841209
F,49403517.52436764
DEGENAI,48129889.63342893
ETHDYDX,42333899.68786655
SXP,42234957.364839
NCT,41671647.15227701
G,39029745.65578084
SERAPH,30335346.24421994
META,29748113.23171793
FWOG,29424841.60927441
TOKEN,26917721.54371736
DOG,26892684.47480932
ANON,25910966.88625404
UFD,23792832.67169371
MAX,22764872.3554372
MED,22501669.57981779
HPO,21339813.33085058
NEUR,19485874.39992015
CHEEMS,18369574.91037136
SNAI,18044812.81563856
YNE,17602799.02085745
REX,17537513.18292968
GRIFT,16164928.75986553
USDB,15147584.51824617
DKA,14145062.25641098
ASM,14128055.46119707
TAOCAT,13405198.7418987
VVAIFU,13191592.93872194
BTR,11759341.1749209
SOLVEX,11665932.61022884
BOA,11351192.35163686
RAI,11221633.50497998
CLANKER,10237213.31439412
MATIC,10010228.91733132
WHY,9237752.84928777
SPEC,8578570.91201388
TAI,8537582.25258175
G3,8236076.19584352
LOFI,8016934.1150305
PEPECOIN,7913394.22840138
GNON,7826393.50570168
LAT,7757289.5251364
FAI,7661943.0549681
SHOGGOTH,7447904.40572486
LMT,7098536.00278874
TRUMP,7057344.29164393
NPC,6895744.7550763
EURI,6632290.70994407
BLY,6400864.85294379
BITCOIN,6386075.86538383
SEN,6324711.75298389
REALIS,6225012.8614284
WOLF,6178130.1765407
MemesAI,6137840.31456678
$AKUMA,6117786.93757866
XAUt,6044979.45397592
HAT,5989993.38645306
AL,5947485.45527442
METAV,5819428.88584181
AXOL,5420130.01150404
ZKJ,5291762.67891273
RETARDIO,5170346.25356919
SRX,5133293.3307136
NEIRO,4990876.11551693
PROPC,4768620.56137594
SIGMA,4683635.04089208
EL,4628832.16170542
lisUSD,4540791.24754018
MUBI,4355393.98903848
NMT,4156764.31205085
SHIRO,4126228.84043418
BIOT,4067405.79593264
OPUS,4042959.67202161
PEPU,3808327.11194436
MVRS,3755165.28015583
BANANAS31,3737012.28222587
SHIBTC,3639782.17224494
BASEDAI,3639067.7854952
POLA,3426202.52486795
ORBT,3286526.0393084
APRS,3244510.22757678
FRIC,3128327.49444495
USDY,3106073.20593481
CHEX,3054102.9985296
MOEW,3012394.67317447
NOS,2965003.39671294
EVAN,2896151.659579
NUB,2840693.46944044
HOPPY,2671076.74504959
$PURPE,2563912.64761655
GRND,2552648.83369708
MUMU,2343487.64595758
TERMINUS,2316365.84414937
MOOMOO,2235433.65508604
AAAHHM,2231176.96188658
MIX,2175186.57778812
ORA,2131415.83785762
SHFL,2027830.78300206
BARSIK,2010954.68054989
FLZ,2001220.33303027
MVC,1964802.61158342
BGSC,1962059.85043088
SPA,1959826.84812849
GEAR,1932962.39502974
BERT,1879061.26547757
ISIKC,1871008.51122012
VADER,1833544.99968717
KARRAT,1832819.52419484
MCOIN,1766044.1370989
JET,1753614.09380965
CHAMP,1747178.21440963
HUND,1734979.19514293
BELLS,1722418.62730485
WILD,1718630.2910385
PUSH,1700963.22125634
PATRIOT,1641572.29220962
RBTC,1637666.57388971
WALLET,1623890.05673286
BORG,1607165.60185736
GHX,1583652.97881756
HASHAI,1559127.55901077
WNCG,1507159.09339494
CKP,1504574.33627723
ROUTE,1499633.15254733
GENE,1496524.2046261
OLAS,1487607.65993976
NEW,1481236.72229499
BRAINLET,1433751.75505024
RSC,1422666.93930305
0x0,1388814.65081967
GPT,1369119.39739918
